,day,Hole ID,Depth Below Surface [m],Theta
6642,2015-04-19,16,12.4587,0.2032
6643,2015-04-19,16,12.7635,0.2182
6644,2015-04-19,16,13.0683,0.262
6645,2015-04-19,16,13.3731,0.2293
6646,2015-04-19,16,13.677900000000001,0.2544
6647,2015-04-19,16,13.982700000000001,0.2346
6648,2015-04-19,16,14.287500000000001,0.2413
6649,2015-04-19,16,14.5923,0.2423
6650,2015-04-19,16,14.8971,0.2667
6651,2015-04-19,16,15.2019,0.2566
6652,2015-04-19,16,15.5067,0.2546
6653,2015-04-19,16,15.811500000000002,0.2579
6654,2015-04-19,16,16.1163,0.243
6655,2015-04-19,16,16.4211,0.2477
6656,2015-04-19,16,16.7259,0.261
6657,2015-04-19,16,17.0307,0.253
6658,2015-04-19,16,17.3355,0.2567
6659,2015-04-19,16,17.6403,0.2472
6660,2015-04-19,16,17.9451,0.2511
6661,2015-04-19,16,18.2499,0.3145
6662,2015-04-19,16,18.5547,0.3831
6663,2015-04-19,16,18.8595,0.3923
6664,2015-04-19,16,19.1643,0.3997
6665,2015-04-19,16,19.4691,0.3964
6666,2015-04-19,16,19.7739,0.3945
6667,2015-04-19,16,20.0787,0.3651
6668,2015-04-19,16,20.3835,0.3687
6669,2015-04-19,16,20.6883,0.3783
6670,2015-04-19,16,20.993100000000002,0.3892
6671,2015-04-19,16,21.297900000000002,0.385
6672,2015-04-19,16,21.602700000000002,0.4045
6673,2015-04-19,16,21.907500000000002,0.4094
6674,2015-04-19,16,22.212300000000003,0.4176
6675,2015-04-19,16,22.5171,0.4164
6676,2015-04-19,5,0.5715000000000001,0.2802
6677,2015-04-19,5,0.8763000000000001,0.2825
6678,2015-04-19,5,1.1811,0.2412
6679,2015-04-19,5,1.4859000000000002,0.2936
6680,2015-04-19,5,1.7907,0.2742
6681,2015-04-19,5,2.0955000000000004,0.3124
6682,2015-04-19,5,2.4003000000000005,0.2945
6683,2015-04-19,5,2.7051,0.2975
6684,2015-04-19,5,3.0099,0.2964
6685,2015-04-19,5,3.3147,0.287
6686,2015-04-19,5,3.6195000000000004,0.2987
6687,2015-04-19,5,3.9242999999999997,0.305
6688,2015-04-19,5,4.2291,0.3061
6689,2015-04-19,5,4.5339,0.2868
6690,2015-04-19,5,4.8387,0.298
6691,2015-04-19,5,5.1435,0.2967
6692,2015-04-19,5,5.4483,0.2763
6693,2015-04-19,5,5.7531,0.2882
6694,2015-04-19,5,6.0579,0.3041
6695,2015-04-19,5,6.3627,0.2813
6696,2015-04-19,5,6.6675,0.2942
6697,2015-04-19,5,6.972300000000001,0.2987
6698,2015-04-19,5,7.2771,0.2919
6699,2015-04-19,5,7.5819,0.2921
6700,2015-04-19,5,7.886699999999999,0.2844
6701,2015-04-19,5,8.1915,0.29
6702,2015-04-19,5,8.4963,0.3084
6703,2015-04-19,5,8.8011,0.2959
6704,2015-04-19,5,9.1059,0.2788
6705,2015-04-19,5,9.4107,0.2683
6706,2015-04-19,5,9.7155,0.2898
6707,2015-04-19,5,10.0203,0.2856
6708,2015-04-19,5,10.3251,0.2816
6709,2015-04-19,5,10.629900000000001,0.3091
6710,2015-04-19,5,10.934700000000001,0.32
6711,2015-04-19,5,11.2395,0.2945
6712,2015-04-19,5,11.5443,0.3135
6713,2015-04-19,5,11.8491,0.3111
6714,2015-04-19,5,12.1539,0.2782
6715,2015-04-19,5,12.4587,0.271
6716,2015-04-19,5,12.7635,0.2623
6717,2015-04-19,5,13.0683,0.2543
6718,2015-04-19,5,13.3731,0.2739
6719,2015-04-19,5,13.677900000000001,0.2742
6720,2015-04-19,5,13.982700000000001,0.2823
6721,2015-04-19,5,14.287500000000001,0.2785
6722,2015-04-19,5,14.5923,0.2495
6723,2015-04-19,5,14.8971,0.2422
6724,2015-04-19,5,15.2019,0.2438
6725,2015-04-19,5,15.5067,0.242
6726,2015-04-19,5,15.811500000000002,0.2457
6727,2015-04-19,5,16.1163,0.2366
6728,2015-04-19,5,16.4211,0.236
6729,2015-04-19,5,16.7259,0.2421
6730,2015-04-19,5,17.0307,0.2318
6731,2015-04-19,5,17.3355,0.2384
6732,2015-04-19,5,17.6403,0.2367
6733,2015-04-19,5,17.9451,0.2259
6734,2015-04-19,5,18.2499,0.2289
6735,2015-04-19,5,18.5547,0.2374
6736,2015-04-19,5,18.8595,0.2344
6737,2015-04-19,5,19.1643,0.2283
6738,2015-04-19,5,19.4691,0.2316
6739,2015-04-19,5,19.7739,0.2329
6740,2015-04-19,5,20.0787,0.231
6741,2015-04-19,5,20.3835,0.2928
6742,2015-04-19,6,0.5715000000000001,0.2758
6743,2015-04-19,6,0.8763000000000001,0.2678
6744,2015-04-19,6,1.1811,0.2818
6745,2015-04-19,6,1.4859000000000002,0.3085
6746,2015-04-19,6,1.7907,0.281
6747,2015-04-19,6,2.0955000000000004,0.2867
6748,2015-04-19,6,2.4003000000000005,0.2866
6749,2015-04-19,6,2.7051,0.2811
6750,2015-04-19,6,3.0099,0.2872
6751,2015-04-19,6,3.3147,0.3069
6752,2015-04-19,6,3.6195000000000004,0.2916
6753,2015-04-19,6,3.9242999999999997,0.3171
6754,2015-04-19,6,4.2291,0.2701
6755,2015-04-19,6,4.5339,0.2679
6756,2015-04-19,6,4.8387,0.2684
6757,2015-04-19,6,5.1435,0.2681
6758,2015-04-19,6,5.4483,0.2674
