Timestamp,angeloPrecipUndercatchCorrected-mm,elder_mmHour,Time_vec
2015-12-04 2:00:00,0,0.08961868548,2015-12-04 2:00:00
2015-12-04 3:00:00,0,0.0805357106,2015-12-04 3:00:00
2015-12-04 4:00:00,4.782077208,0.07448039401,2015-12-04 4:00:00
2015-12-04 5:00:00,0.2018641142,0.07069582115,2015-12-04 5:00:00
2015-12-04 6:00:00,0,0.06600295079,2015-12-04 6:00:00
2015-12-04 7:00:00,0,0.06193075039,2015-12-04 7:00:00
2015-12-04 8:00:00,0.2000340401,0.05667776325,2015-12-04 8:00:00
2015-12-04 9:00:00,0.2062029513,0.05349872204,2015-12-04 9:00:00
2015-12-04 10:00:00,0,0.05003205329,2015-12-04 10:00:00
2015-12-04 11:00:00,0.2071265614,0.0478975542,2015-12-04 11:00:00
2015-12-04 12:00:00,0.2068621602,0.0450515554,2015-12-04 12:00:00
2015-12-04 13:00:00,0,0.04193306736,2015-12-04 13:00:00
2015-12-04 14:00:00,0,0.04041923821,2015-12-04 14:00:00
2015-12-04 15:00:00,0,0.03857236666,2015-12-04 15:00:00
2015-12-04 16:00:00,0,0.03675577168,2015-12-04 16:00:00
2015-12-04 17:00:00,0,0.03536304886,2015-12-04 17:00:00
2015-12-04 18:00:00,0,0.03403087922,2015-12-04 18:00:00
2015-12-04 19:00:00,0,0.03303175198,2015-12-04 19:00:00
2015-12-04 20:00:00,0,0.0317449972,2015-12-04 20:00:00
2015-12-04 21:00:00,0,0.03079128484,2015-12-04 21:00:00
2015-12-04 22:00:00,0,0.02954994494,2015-12-04 22:00:00
2015-12-04 23:00:00,0,0.02864164745,2015-12-04 23:00:00
2015-12-05 0:00:00,0,0.02773334997,2015-12-05 0:00:00
2015-12-05 1:00:00,0,0.02658283981,2015-12-05 1:00:00
2015-12-05 2:00:00,0,0.02603786132,2015-12-05 2:00:00
2015-12-05 3:00:00,0,0.02549288283,2015-12-05 3:00:00
2015-12-05 4:00:00,0,0.02463000022,2015-12-05 4:00:00
2015-12-05 5:00:00,0,0.02408502172,2015-12-05 5:00:00
2015-12-05 6:00:00,0,0.02331296886,2015-12-05 6:00:00
2015-12-05 7:00:00,0,0.02279826695,2015-12-05 7:00:00
2015-12-05 8:00:00,0,0.02228356504,2015-12-05 8:00:00
2015-12-05 9:00:00,0,0.02202621408,2015-12-05 9:00:00
2015-12-05 10:00:00,0,0.02125416122,2015-12-05 10:00:00
2015-12-05 11:00:00,0,0.02101194855,2015-12-05 11:00:00
2015-12-05 12:00:00,0,0.02028531056,2015-12-05 12:00:00
2015-12-05 13:00:00,0,0.02028531056,2015-12-05 13:00:00
2015-12-05 14:00:00,0,0.01955867257,2015-12-05 14:00:00
2015-12-05 15:00:00,0,0.01931645991,2015-12-05 15:00:00
2015-12-05 16:00:00,0,0.01908938554,2015-12-05 16:00:00
2015-12-05 17:00:00,0,0.01840816242,2015-12-05 17:00:00
2015-12-05 18:00:00,0,0.01840816242,2015-12-05 18:00:00
2015-12-05 19:00:00,0,0.01840816242,2015-12-05 19:00:00
2015-12-05 20:00:00,2.278800564,0.01795401368,2015-12-05 20:00:00
2015-12-05 21:00:00,2.090125217,0.01863523679,2015-12-05 21:00:00
2015-12-05 22:00:00,1.87581777,0.01931645991,2015-12-05 22:00:00
2015-12-05 23:00:00,5.44631942,0.02028531056,2015-12-05 23:00:00
2015-12-06 0:00:00,2.120062226,0.02279826695,2015-12-06 0:00:00
2015-12-06 1:00:00,10.16483553,0.02662825469,2015-12-06 1:00:00
2015-12-06 2:00:00,5.973925976,0.0354690169,2015-12-06 2:00:00
2015-12-06 3:00:00,0,0.04511210857,2015-12-06 3:00:00
2015-12-06 4:00:00,1.033365372,0.06656306758,2015-12-06 4:00:00
2015-12-06 5:00:00,1.213302516,0.12413399,2015-12-06 5:00:00
2015-12-06 6:00:00,10.33262778,0.1350335599,2015-12-06 6:00:00
2015-12-06 7:00:00,0.6084669044,0.1350335599,2015-12-06 7:00:00
2015-12-06 8:00:00,1.434345546,0.1271616483,2015-12-06 8:00:00
2015-12-06 9:00:00,1.014228839,0.1342766453,2015-12-06 9:00:00
2015-12-06 10:00:00,0.8221069408,0.1459331297,2015-12-06 10:00:00
2015-12-06 11:00:00,0,0.1501718513,2015-12-06 11:00:00
2015-12-06 12:00:00,0.4212971756,0.1441165348,2015-12-06 12:00:00
2015-12-06 13:00:00,0,0.1335197307,2015-12-06 13:00:00
